#,Job Title,Company,Location,Platform,Date Posted,Relevancy Score,Work Type,Link,Search Query
239,Senior Creative Strategist – Paid Social / Online Video (m/f/d),,,,,0,Not specified,,
240,SAP SD Business Systems Analyst,Easily apply,"Burlington, ON L7L 5Y7",,,0,Not specified,,
241,Brand & Content Specialist,Easily apply,"Brampton, ON L6T 5K1",,,0,Not specified,,
242,Digital Communications Officer,Easily apply,Hospital Employees' Union,,,0,Not specified,,
243,Proposals & Pursuits Specialist,Easily apply,"New Westminster, BC V3M 2A8",,,0,Not specified,,
244,Digital Communications Advisor,Weekends as needed +1,Port of Vancouver,,,0,Not specified,,
245,Digital Communications Advisor (Term for a period of up to 18 Months),Weekends as needed +1,Vancouver Fraser Port Authority,,,0,Not specified,,
246,Demand Generation Manager (Paid Media & ABM),Easily apply,"Vancouver, BC V6C 1G8",,,0,Not specified,,
247,Brand Ambassador - Vancouver,Easily apply,Sparks Marketing Communications,,,0,Not specified,,
248,Paid Media Specialist,Mrkt360 Inc.,"Concord, ON",Indeed,Last 3 days,0,Not specified,,SEO Specialist
249,Content Specialist,Muslim Hands Canada,"Mississauga, ON (On-site)",LinkedIn,Past week,0,In-person,,Content Optimization Specialist
250,Martech Data & Insights Coordinator,Starcom Canada,,,,0,Not specified,,
251,Digital Media Specialist (Programmatic),Best Buy Canada,,,,0,Not specified,,
